Time(ms),Volume,Pressure,Temperature 1,Temperature 2,,Time(ms) - Driven,Volume - Driven,Pressure - Driven,Temperature 1 - Driven,Temperature 2 - Driven
895,35.83999218617268,77.24121094,206,53.75,,775,29.849386708531323,90.52246094,44.75,28.75
903,36.700500085053406,75.05615234,206,53.75,,783,30.116346067935485,85.92041016,44.75,28.75
911,37.827938234093175,73.22509766,206,53.75,,791,30.83254378871305,81.13525391,44.75,28.75
919,38.83432958873806,71.6015625,206,53.75,,800,32.00475072389729,76.60644531,44.75,28.75
928,39.711195951115236,70.33203125,206,53.75,,808,33.65147535309734,73.10302734,44.75,28.75
936,40.419905732495344,69.14794922,206,53.75,,816,35.60311207893276,70.60058594,44.75,28.75
944,40.95972976,68.26904297,206,53.75,,824,37.65996917837763,69.2578125,44.75,28.75
952,41.34218339852899,67.46337891,206,53.75,,832,39.50280243892911,68.79394531,44.75,28.75
959,41.556957194236155,66.9140625,206,53.75,,841,40.84990451,69.02587891,44.75,28.75
966,41.62557746602429,66.45019531,206,53.75,,849,41.556957194236155,69.91699219,44.75,28.75
971,41.57891639972972,66.23046875,206,53.75,,856,41.49626536229354,71.19873047,44.75,28.75
976,41.50698449327762,66.01074219,206,53.75,,863,40.818627504237405,73.00537109,44.75,28.75
983,41.364229837999076,65.79101563,206,53.75,,868,39.62725171898008,74.53125,44.75,28.75
988,41.07064911573163,65.69335938,206,53.75,,876,38.51952470898745,77.83935547,44.75,28.75
995,40.80277891948491,65.68115234,206,53.75,,885,36.49928376658359,81.59912109,44.75,28.75
1000,40.33709804446988,65.71777344,206,53.75,,893,34.46145889949109,85.99365234,44.75,28.75
1007,39.94752399100292,65.94970703,206,53.75,,901,32.67566566033507,89.9609375,44.75,28.75
1013,39.30304227820573,66.25488281,206,53.75,,909,31.305429272305986,93.00048828,44.75,28.75
1020,38.79118784730637,66.81640625,206,53.75,,917,30.38530258,93.98925781,44.75,28.75
1025,38.01292800068883,67.34130859,206,53.75,,926,29.91885794714693,92.71972656,44.75,28.75
1032,37.39636123916085,68.40332031,206,53.75,,934,29.879918516068283,89.42382813,44.75,28.75
1040,36.48970120787686,70.0390625,206,53.75,,942,30.269304487826254,84.60205078,44.75,28.75
1048,35.41484011220393,72.07763672,206,53.75,,950,31.102995980251514,79.85351563,44.75,28.75
1057,34.337271241839616,74.78759766,206,53.75,,958,32.41213591448619,75.53222656,44.75,28.75
1065,33.30961237726227,77.79052734,206,53.75,,966,34.161894099528695,72.28515625,44.75,28.75
1073,32.377462677572915,81.19628906,206,53.75,,975,36.16418113269201,70.08789063,44.75,28.75
1081,31.585857352917007,84.57763672,206,53.75,,983,38.195936378303394,68.98925781,44.75,28.75
1089,30.933989251605492,87.92236328,206,53.75,,991,39.92588257534152,68.73291016,44.75,28.75
1098,30.450340836921068,90.77880859,206,53.75,,999,41.126770486591205,69.14794922,44.75,28.75
1106,30.116346067935485,93.19580078,206,53.75,,1007,41.61816423660552,70.24658203,44.75,28.75
1114,29.920017044447288,94.85595703,206,53.75,,1016,41.34218339852899,71.89453125,44.75,28.75
1122,29.84594541,95.85693359,206,53.75,,1023,40.31765875496228,73.93310547,44.75,28.75
1130,29.890986381806478,95.93017578,206,53.75,,1028,38.90294200026801,75.77636719,44.5,28.75
1138,30.05181229093655,95.16113281,206,53.75,,1035,37.697406321224875,78.86474609,44.5,28.75
1147,30.338997959201098,93.74511719,206,53.75,,1039,35.89705577099207,80.75683594,44.5,28.75
1155,30.756696114778897,91.64550781,206,53.75,,1044,34.877023736179595,83.43017578,44.5,28.75
1163,31.321233144132076,89.15527344,206,53.75,,1051,33.67639972211545,87.23876953,44.5,28.75
1171,32.043296725949084,86.29882813,206,53.75,,1057,32.21419427,89.77783203,44.5,28.75
1179,32.93596373668029,83.47900391,206,53.75,,1064,31.38531470383775,92.56103516,44.5,28.75
1188,33.94624234798018,80.62255859,206,53.75,,1069,30.526253105931865,93.68408203,44.5,28.75
1196,35.070165961863154,78.16894531,206,53.75,,1077,30.132145013584044,93.68408203,44.5,28.75
1204,36.221561425009554,75.84960938,206,53.75,,1085,29.85057439465122,91.38916016,44.5,28.75
1212,37.37743944237948,73.90869141,206,53.75,,1093,29.99281411647003,87.36083984,44.5,28.75
1220,38.43939199722375,72.17529297,206,53.75,,1102,30.576952807349553,82.35595703,44.5,28.75
1229,39.37567855522924,70.80810547,206,53.75,,1110,31.62048791,77.81494141,44.5,28.75
1237,40.15780124324952,69.53857422,206.25,53.75,,1118,33.151644565874385,74.03076172,44.5,28.75
1245,40.77066438912287,68.54980469,206.25,53.75,,1126,35.03322727947286,71.19873047,44.5,28.75
1253,41.21527691022897,67.6953125,206.25,53.75,,1134,37.09243848497357,69.50195313,44.5,28.75
1261,41.494066865783886,67.02392578,206.25,53.75,,1143,39.02174246430048,68.80615234,44.5,28.75
1270,41.61816423660552,66.45019531,206.25,53.75,,1151,40.542669785727156,68.89160156,44.5,28.75
1278,41.59123970133834,66.07177734,206.25,53.75,,1159,41.43849584622401,69.57519531,44.5,28.75
1286,41.42242959906747,65.77880859,206.25,53.75,,1167,41.587737670201996,70.88134766,44.5,28.75
1294,41.10980220751367,65.62011719,206.25,53.75,,1175,40.954905148339236,72.90771484,44.75,28.75
1302,40.65965030303611,65.64453125,206.25,53.75,,1184,39.63493821109385,75.59326172,44.75,28.75
1311,40.07504990139432,65.87646484,206,53.75,,1192,37.800035021548055,79.16992188,44.75,28.75
1319,39.359606140102315,66.38916016,206,53.75,,1200,35.735577282763614,83.16162109,44.75,28.75
1327,38.52839488370018,67.14599609,206,53.75,,1208,33.743183075251785,87.56835938,44.75,28.75
1335,37.58491867115083,68.26904297,206,53.75,,1216,32.101744651405745,91.27929688,44.75,28.75
1343,36.53761495793183,69.88037109,206,53.75,,1225,30.88925753633749,93.58642578,44.75,28.75
1351,35.47119237873421,72.05322266,206,53.75,,1233,30.15550135722801,93.76953125,44.75,28.75
1360,34.372636867601834,74.64111328,206,53.75,,1241,29.855001681062493,91.60888672,44.75,28.75
1368,33.34158723652143,77.61962891,206,53.75,,1249,29.976902302391775,87.62939453,44.75,28.75
1376,32.39823952119159,81.04980469,206,53.75,,1257,30.533381859081725,82.64892578,44.75,28.75
1384,31.597362651653736,84.44335938,206,53.75,,1265,31.562961493142154,78.046875,44.75,28.75
1392,30.94759639948437,87.84912109,206,53.75,,1274,33.050700801735445,74.09179688,44.75,28.75
